drug,matched_S1_entry,name_match,status,formula_pubchem,formula_S1,smiles_pubchem,smiles_S1
Bevantolol,bevantolol,exact,identical,C20H27NO4,C20H27NO4,CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O,COc1ccc(CCNCC(COc2cccc(C)c2)O)cc1OC
Donepezil,donepezil,exact,identical,C24H29NO3,C24H29NO3,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,[H]C1(C(=O)c(c2C1)cc(OC)c(OC)c2)CC3CCN(Cc4ccccc4)CC3
Metaraminol,metaraminol,exact,identical,C9H13NO2,C9H13NO2,CC(C(C1=CC(=CC=C1)O)O)N,CC(C(c1cccc(O)c1)O)N
Rizatriptan,rizatriptan,exact,identical,C15H19N5,C15H19N5,CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3,CN(CCc1c2c(ccc(Cn3ncnc3)c2)[nH]c1)C
Loxapine,loxapine,exact,identical,C18H18ClN3O,C18H18ClN3O,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,CN1CCN(C(c2c(ccc(Cl)c2)Oc3c4cccc3)=N4)CC1
Clemastine,clemastine,exact,identical,C21H26ClNO,C21H26ClNO,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCC3CCCN3C,CN1C(CCOC(c2ccc(Cl)cc2)(c3ccccc3)C)CCC1
Clobutinol,clobutinol,exact,identical,C14H22ClNO,C14H22ClNO,CC(CN(C)C)C(C)(CC1=CC=C(C=C1)Cl)O,CC(C(Cc1ccc(Cl)cc1)(O)C)CN(C)C
Azatadine,azatadine,exact,identical,C20H22N2,C20H22N2,CN1CCC(=C2C3=CC=CC=C3CCC4=C2N=CC=C4)CC1,CN1CCC(=C2c3c(cccc3)CCc(c24)cccn4)CC1
Ketotifen,ketotifen,exact,identical,C19H19NOS,C19H19NOS,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,CN1CCC(=C2c3c(cccc3)CC(=O)c4c2ccs4)CC1
Meperidine,meperidine,exact,identical,C15H21NO2,C15H21NO2,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2,CCOC(C1(c2ccccc2)CCN(C)CC1)=O
Pizotifen,pizotifen,exact,identical,C19H21NS,C19H21NS,CN1CCC(=C2C3=C(CCC4=CC=CC=C42)SC=C3)CC1,CN1CCC(=C2c(c3CCc(c24)scc4)cccc3)CC1
Rescinnamine,rescinnamine,exact,identical,C35H42N2O9,C35H42N2O9,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C=CC6=CC(=C(C(=C6)OC)OC)OC,[H]C1(CN2C(c3c(c4c(cc(OC)cc4)[nH]3)CC2)([H])C5)C5([H])C(C(OC)=O)C(OC)C(OC(C=Cc6cc(OC)c(OC)c(OC)c6)=O)C1
Reserpine,reserpine,exact,identical,C33H40N2O9,C33H40N2O9,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,[H]C1(CN2C(c3c(c4c(cc(OC)cc4)[nH]3)CC2)([H])C5)C5([H])C(C(OC)=O)C(OC)C(OC(c6cc(OC)c(OC)c(OC)c6)=O)C1
Tripelennamine,tripelennamine,exact,identical,C16H21N3,C16H21N3,CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2,CN(CCN(c1ccccn1)Cc2ccccc2)C
Benzquinamide,benzquinamide,exact,identical,C22H32N2O5,C22H32N2O5,CCN(CC)C(=O)C1CN2CCC3=CC(=C(C=C3C2CC1OC(=O)C)OC)OC,CCN(C(C1C(OC(=O)C)CC(N2C1)c3c(cc(OC)c(OC)c3)CC2)=O)CC
Dextromethorphan,dextromethorphan,exact,identical,C18H25NO,C18H25NO,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,[H]C1(C2N(C)CC3)C3(c4c(ccc(OC)c4)C2)CCCC1
Dobutamine,dobutamine,exact,identical,C18H23NO3,C18H23NO3,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O,CC(NCCc1ccc(O)c(O)c1)CCc2ccc(O)cc2
Fasudil,fasudil,exact,identical,C14H17N3O2S,C14H17N3O2S,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3,O=S(c1c2c(cncc2)ccc1)(N3CCNCCC3)=O
Levorphanol,levorphanol,exact,identical,C17H23NO,C17H23NO,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O,[H]C1(C2N(C)CC3)C3(c4c(ccc(O)c4)C2)CCCC1
Benzphetamine,benzphetamine,exact,identical,C17H21N,C17H21N,CC(CC1=CC=CC=C1)N(C)CC2=CC=CC=C2,CC(N(Cc1ccccc1)C)Cc2ccccc2
Salmeterol,salmeterol,exact,identical,C25H37NO4,C25H37NO4,C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O,OCc1cc(C(CNCCCCCCOCCCCc2ccccc2)O)ccc1O
Trazodone,trazodone,exact,identical,C19H22ClN5O,C19H22ClN5O,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,Clc1cc(N2CCN(CCCN3C(=O)N(C4=N3)C=CC=C4)CC2)ccc1
Deserpidine,deserpidine,exact,identical,C32H38N2O8,C32H38N2O8,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=CC=CC=C45)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,[H]C1(CN2C(c3c(c4c(cccc4)[nH]3)CC2)([H])C5)C5([H])C(C(OC)=O)C(OC)C(OC(c6cc(OC)c(OC)c(OC)c6)=O)C1
Verapamil,verapamil,exact,identical,C27H38N2O4,C27H38N2O4,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,COc1ccc(CCN(CCCC(c2ccc(OC)c(OC)c2)(C(C)C)C#N)C)cc1OC
Dihydrotachysterol,dihydrotachysterol,exact,identical,C28H46O,C28H46O,CC1CCC(CC1=CC=C2CCCC3(C2CCC3C(C)C=CC(C)C(C)C)C)O,CC(C(C=CC(C1C2(C)C(C(=CC=C3C(C)CCC(O)C3)CCC2)CC1)C)C)C
Fluorometholone,fluorometholone,exact,identical,C22H29FO4,C22H29FO4,CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,[H]C1(C2([H])C(C(C)(C(=C3)C(C)C2)C=CC3=O)(F)C(O)C4)C4(C)C(C(=O)C)(O)CC1
Medrysone,medrysone,exact,identical,C22H32O3,C22H32O3,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)CC4)C)O)C)C(=O)C,[H]C1(C2([H])C(C(C)(C(=C3)C(C)C2)CCC3=O)([H])C(O)C4)C4(C)C(C(=O)C)CC1
Prednicarbate,prednicarbate,exact,identical,C27H36O8,C27H36O8,CCC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)OC(=O)OCC,CCOC(OC1(C(COC(CC)=O)=O)C(C)(C2CC1)CC(O)C(C23)C(C)(C(=C4)CC3)C=CC4=O)=O
Tamsulosin,tamsulosin,exact,identical,C20H28N2O5S,C20H28N2O5S,CCOC1=CC=CC=C1OCCNC(C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N,CCOc1ccccc1OCCNC(Cc2ccc(OC)c(S(=O)(=O)N)c2)C
Desloratadine,desloratadine,exact,identical,C19H19ClN2,C19H19ClN2,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,Clc1ccc2c(CCc(c3C2=C4CCNCC4)cccn3)c1
Pimozide,pimozide,exact,identical,C28H29F2N3O,C28H29F2N3O,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,Fc1ccc(C(c2ccc(F)cc2)CCCN3CCC(N4c5c(cccc5)NC4=O)CC3)cc1
Prenylamine,prenylamine,exact,identical,C24H27N,C24H27N,CC(CC1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3,CC(NCCC(c1ccccc1)c2ccccc2)Cc3ccccc3
Chlorotrianisene,chlorotrianisene,exact,identical,C23H21ClO3,C23H21ClO3,COC1=CC=C(C=C1)C(=C(C2=CC=C(C=C2)OC)Cl)C3=CC=C(C=C3)OC,COc1ccc(C(=C(c2ccc(OC)cc2)c3ccc(OC)cc3)Cl)cc1
Diethylstilbestrol,diethylstilbestrol,exact,identical,C18H20O2,C18H20O2,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,CCC(c1ccc(O)cc1)=C(c2ccc(O)cc2)CC
Dihydroergotamine,dihydroergotamine,exact,identical,C33H37N5O5,C33H37N5O5,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,[H]C1(C(O)(N2C(Cc3ccccc3)C4=O)OC(NC(C5CC([H])(C6([H])N(C)C5)c7c(c8C6)c(ccc7)[nH]c8)=O)(C)C2=O)N4CCC1
Phenylephrine,phenylephrine,exact,identical,C9H13NO2,C9H13NO2,CNCC(C1=CC(=CC=C1)O)O,CNCC(c1cccc(O)c1)O
Masoprocol,masoprocol,exact,identical,C18H22O4,C18H22O4,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,CC(C(Cc1ccc(O)c(O)c1)C)Cc2ccc(O)c(O)c2
Cisapride,cisapride,exact,identical,C23H29ClFN3O4,C23H29ClFN3O4,COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,COC1C(NC(c2cc(Cl)c(N)cc2OC)=O)CCN(CCCOc3ccc(F)cc3)C1
Oxamniquine,oxamniquine,exact,identical,C14H21N3O3,C14H21N3O3,CC(C)NCC1CCC2=CC(=C(C=C2N1)[N+](=O)[O-])CO,CC(NCC1Nc2c(cc(CO)c([N+](=O)[O-])c2)CC1)C
Diphenhydramine,diphenhydramine,exact,identical,C17H21NO,C17H21NO,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,CN(CCOC(c1ccccc1)c2ccccc2)C
Fluspirilene,fluspirilene,exact,identical,C29H31F2N3O,C29H31F2N3O,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,Fc1ccc(C(c2ccc(F)cc2)CCCN3CCC4(C(=O)NCN4c5ccccc5)CC3)cc1
Anecortave,anecortave,exact,different_compound,C21H28O4,C23H30O5,CC12CCC(=O)C=C1CCC3C2=CCC4(C3CCC4(C(=O)CO)O)C,CC(OCC(C1(C(C)(C2CC1)CC=C(C23)C(C)(C(=C4)CC3)CCC4=O)O)=O)=O
Ethinyl Estradiol,ethinyl estradiol,case_insensitive,identical,C20H24O2,C20H24O2,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O,[H]C1(C([H])(C2([H])CC3)CCc4c2ccc(O)c4)C3(C)C(C#C)(O)CC1
Exemestane,exemestane,exact,identical,C20H24O2,C20H24O2,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,[H]C1(C2([H])C(C(C)(C(=C3)C(=C)C2)C=CC3=O)([H])CC4)C4(C)C(=O)CC1
Medroxyprogesterone,medroxyprogesterone,exact,identical,C22H32O3,C22H32O3,CC1CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C,[H]C1(C2([H])C(C(C)(C(=C3)C(C)C2)CCC3=O)([H])CC4)C4(C)C(C(=O)C)(O)CC1
Mestranol,mestranol,exact,identical,C21H26O2,C21H26O2,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC,[H]C1(C([H])(C2([H])CC3)CCc4c2ccc(OC)c4)C3(C)C(C#C)(O)CC1
Norethindrone,norethindrone,exact,identical,C20H26O2,C20H26O2,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34,[H]C1(C([H])(C2([H])CC3)CCC(C24[H])=CC(=O)CC4)C3(C)C(C#C)(O)CC1
Quinestrol,quinestrol,exact,identical,C25H32O2,C25H32O2,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5,[H]C1(C([H])(C2([H])CC3)CCc4c2ccc(OC5CCCC5)c4)C3(C)C(C#C)(O)CC1
Aprindine,aprindine,exact,identical,C22H30N2,C22H30N2,CCN(CC)CCCN(C1CC2=CC=CC=C2C1)C3=CC=CC=C3,CCN(CCCN(c1ccccc1)C2Cc3c(cccc3)C2)CC
Cyclobenzaprine,cyclobenzaprine,exact,identical,C20H21N,C20H21N,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,CN(CCC=C1c2c(cccc2)C=Cc3c1cccc3)C
Sertraline,sertraline,exact,identical,C17H17Cl2N,C17H17Cl2N,CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,CNC1c2c(cccc2)C(c3ccc(Cl)c(Cl)c3)CC1
Aripiprazole,aripiprazole,exact,identical,C23H27Cl2N3O2,C23H27Cl2N3O2,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,Clc1c(Cl)c(N2CCN(CCCCOc3ccc4c(NC(=O)CC4)c3)CC2)ccc1
Dilazep,dilazep,exact,identical,C31H44N2O10,C31H44N2O10,COC1=CC(=CC(=C1OC)OC)C(=O)OCCCN2CCCN(CC2)CCCOC(=O)C3=CC(=C(C(=C3)OC)OC)OC,COc1c(OC)c(OC)cc(C(OCCCN2CCN(CCCOC(c3cc(OC)c(OC)c(OC)c3)=O)CCC2)=O)c1
Ranitidine,ranitidine,exact,identical,C13H22N4O3S,C13H22N4O3S,CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C,CNC(=C[N+](=O)[O-])NCCSCc1oc(CN(C)C)cc1
Tramadol,tramadol,exact,identical,C16H25NO2,C16H25NO2,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O,COc1cc(C2(C(CN(C)C)CCCC2)O)ccc1
Isopropamide,isopropamide,exact,identical,C23H33N2O+,C23H33N2O+,CC(C)[N+](C)(CCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)N)C(C)C,CC([N+](C(C)C)(CCC(c1ccccc1)(c2ccccc2)C(=O)N)C)C
Haloperidol,haloperidol,exact,identical,C21H23ClFNO2,C21H23ClFNO2,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,OC1(c2ccc(Cl)cc2)CCN(CCCC(c3ccc(F)cc3)=O)CC1
Cinnarizine,cinnarizine,exact,identical,C26H28N2,C26H28N2,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,C(N1CCN(C(c2ccccc2)c3ccccc3)CC1)C=Cc4ccccc4
Diperodon,diperodon,exact,identical,C22H27N3O4,C22H27N3O4,C1CCN(CC1)CC(COC(=O)NC2=CC=CC=C2)OC(=O)NC3=CC=CC=C3,O=C(OCC(OC(Nc1ccccc1)=O)CN2CCCCC2)Nc3ccccc3
Encainide,encainide,exact,identical,C22H28N2O2,C22H28N2O2,CN1CCCCC1CCC2=CC=CC=C2NC(=O)C3=CC=C(C=C3)OC,COc1ccc(C(Nc2c(CCC3N(C)CCCC3)cccc2)=O)cc1
Methylphenidate,methylphenidate,exact,identical,C14H19NO2,C14H19NO2,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,COC(C(c1ccccc1)C2NCCCC2)=O
Tolterodine,tolterodine,exact,identical,C22H31NO,C22H31NO,CC1=CC(=C(C=C1)O)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2,CC(N(C(C)C)CCC(c1c(O)ccc(C)c1)c2ccccc2)C
Ritodrine,ritodrine,exact,identical,C17H21NO3,C17H21NO3,CC(C(C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O,CC(C(c1ccc(O)cc1)O)NCCc2ccc(O)cc2
Saquinavir,saquinavir,exact,identical,C38H50N6O5,C38H50N6O5,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(C(CC3=CC=CC=C3)NC(=O)C(CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,CC(NC(C1N(CC(C(NC(C(NC(c2ccc3c(cccc3)n2)=O)CC(=O)N)=O)Cc4ccccc4)O)CC(C5C1)CCCC5)=O)(C)C
Zafirlukast,zafirlukast,exact,identical,C31H33N3O6S,C31H33N3O6S,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC,COc1cc(C(NS(c2ccccc2C)(=O)=O)=O)ccc1Cc3c4c(ccc(NC(OC5CCCC5)=O)c4)n(C)c3
Cyproterone,cyproterone,exact,identical,C22H27ClO3,C22H27ClO3,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)O,[H]C1(C(=O)C=C2C3(C([H])(C4([H])C=C2Cl)CCC(C)(C45[H])C(C(=O)C)(O)CC5)C)C3([H])C1
Hydrocortisone,hydrocortisone,exact,identical,C21H30O5,C21H30O5,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,[H]C1(C2([H])C(C(C)(C(=C3)CC2)CCC3=O)([H])C(O)([H])C4)C4(C)C(C(CO)=O)(O)CC1
Methylprednisolone,methylprednisolone,exact,identical,C22H30O5,C22H30O5,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,[H]C1(C2([H])C(C(C)(C(=C3)C(C)C2)C=CC3=O)([H])C(O)C4)C4(C)C(C(CO)=O)(O)CC1
Prednisone,prednisone,exact,identical,C21H26O5,C21H26O5,CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C,[H]C1(C2([H])C(C(C)(C(=C3)CC2)C=CC3=O)([H])C(=O)C4)C4(C)C(C(CO)=O)(O)CC1
Rimexolone,rimexolone,exact,identical,C24H34O3,C24H34O3,CCC(=O)C1(C(CC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)C)C,CCC(C1(C(C)(C2CC1C)CC(O)C(C23)C(C)(C(=C4)CC3)C=CC4=O)C)=O
Testosterone Propionate,testosterone propionate,case_insensitive,identical,C22H32O3,C22H32O3,CCC(=O)OC1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,[H]C1(C2([H])C(C(C)(C(=C3)CC2)CCC3=O)([H])CC4)C4(C)C(OC(CC)=O)CC1
Nadolol,nadolol,exact,identical,C17H27NO4,C17H27NO4,CC(C)(C)NCC(COC1=CC=CC2=C1CC(C(C2)O)O)O,CC(NCC(COc1c2c(CC(O)C(O)C2)ccc1)O)(C)C
dobutamine,dobutamine,case_insensitive,identical,C18H23NO3,C18H23NO3,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O,CC(NCCc1ccc(O)c(O)c1)CCc2ccc(O)cc2
isoproterenol,isoproterenol,case_insensitive,identical,C11H17NO3,C11H17NO3,CC(C)NCC(C1=CC(=C(C=C1)O)O)O,CC(NCC(c1ccc(O)c(O)c1)O)C
Droperidol,droperidol,exact,identical,C22H22FN3O2,C22H22FN3O2,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,Fc1ccc(C(CCCN2CC=C(N3c4c(cccc4)NC3=O)CC2)=O)cc1
Ropinirole,ropinirole,exact,identical,C16H24N2O,C16H24N2O,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,CCCN(CCc1cccc(c12)NC(=O)C2)CCC
Fentanyl,fentanyl,exact,identical,C22H28N2O,C22H28N2O,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,CCC(N(c1ccccc1)C2CCN(CCc3ccccc3)CC2)=O
Moclobemide,moclobemide,exact,identical,C13H17ClN2O2,C13H17ClN2O2,C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl,Clc1ccc(C(NCCN2CCOCC2)=O)cc1
Metoprolol,metoprolol,exact,identical,C15H25NO3,C15H25NO3,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,COCCc1ccc(OCC(CNC(C)C)O)cc1
Atenolol,atenolol,exact,identical,C14H22N2O3,C14H22N2O3,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,CC(NCC(COc1ccc(CC(=O)N)cc1)O)C
Salbutamol,salbutamol,exact,identical,C13H21NO3,C13H21NO3,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,CC(NCC(c1ccc(O)c(CO)c1)O)(C)C
Remoxipride,remoxipride,exact,identical,C16H23BrN2O3,C16H23BrN2O3,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2OC)Br)OC,CCN1C(CNC(c2c(OC)ccc(Br)c2OC)=O)CCC1
Dibucaine,dibucaine,exact,identical,C20H29N3O2,C20H29N3O2,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,CCCCOc1cc(C(NCCN(CC)CC)=O)c2c(cccc2)n1
Scopolamine,scopolamine,exact,identical,C17H21NO4,C17H21NO4,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,CN(C1CC(OC(C(c2ccccc2)CO)=O)C3)C3C(C14)O4
Levosulpiride,levosulpiride,exact,identical,C15H23N3O4S,C15H23N3O4S,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,CCN1C(CNC(c2c(OC)ccc(S(=O)(=O)N)c2)=O)CCC1
phenformin,phenformin,case_insensitive,identical,C10H15N5,C10H15N5,C1=CC=C(C=C1)CCN=C(N)N=C(N)N,NC(NC(NCCc1ccccc1)=N)=N
Benztropine,benztropine,exact,identical,C21H25NO,C21H25NO,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4,[H]C1(N(C)C2([H])CC1)CC(OC(c3ccccc3)c4ccccc4)C2
Famciclovir,famciclovir,exact,identical,C14H19N5O4,C14H19N5O4,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C,CC(OCC(COC(=O)C)CCn1c2c(cnc(N)n2)nc1)=O
Etomidate,etomidate,exact,identical,C14H16N2O2,C14H16N2O2,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2,CCOC(c1n(C(c2ccccc2)C)cnc1)=O
Cytarabine,cytarabine,exact,identical,C9H13N3O5,C9H13N3O5,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,NC(C=CN(C1C(O)C(O)C(CO)O1)C2=O)=N2
Zalcitabine,zalcitabine,exact,identical,C9H13N3O3,C9H13N3O3,C1CC(OC1CO)N2C=CC(=NC2=O)N,NC(C=CN(C1OC(CO)CC1)C2=O)=N2
Gemcitabine,gemcitabine,exact,identical,C9H11F2N3O4,C9H11F2N3O4,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,NC(C=CN(C1C(F)(F)C(O)C(CO)O1)C2=O)=N2
Didanosine,didanosine,exact,identical,C10H12N4O3,C10H12N4O3,C1CC(OC1CO)N2C=NC3=C2N=CNC3=O,OCC1OC(n2c3c(C(=O)NC=N3)nc2)CC1
Pentoxifylline,pentoxifylline,exact,identical,C13H18N4O3,C13H18N4O3,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,Cn1c2c(N(C)C(=O)N(CCCCC(=O)C)C2=O)nc1
Ribavirin,ribavirin,exact,identical,C8H12N4O5,C8H12N4O5,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N,NC(c1ncn(C2C(O)C(O)C(CO)O2)n1)=O
bucladesine,bucladesine,case_insensitive,identical,C18H24N5O8P,C18H24N5O8P,CCCC(=O)NC1=C2C(=NC=N1)N(C=N2)C3C(C4C(O3)COP(=O)(O4)O)OC(=O)CCC,CCCC(Nc1c2c(n(C3C(OC(CCC)=O)C(C4O3)OP(=O)(O)OC4)cn2)ncn1)=O
Acyclovir,acyclovir,exact,identical,C8H11N5O3,C8H11N5O3,C1=NC2=C(N1COCCO)N=C(NC2=O)N,NC(Nc1c(ncn1COCCO)C2=O)=N2
Nizatidine,nizatidine,exact,identical,C12H21N5O2S2,C12H21N5O2S2,CNC(=C[N+](=O)[O-])NCCSCC1=CSC(=N1)CN(C)C,CNC(=C[N+](=O)[O-])NCCSCc1nc(CN(C)C)sc1
Dextroamphetamine,dextroamphetamine,exact,identical,C9H13N,C9H13N,CC(CC1=CC=CC=C1)N,CC(Cc1ccccc1)N
Ciprofloxacin,ciprofloxacin,exact,identical,C17H18FN3O3,C17H18FN3O3,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,OC(C(C(=O)c1c(cc(N2CCNCC2)c(F)c1)N3C4CC4)=C3)=O
